page,slide_topic,exam_question,score,confidence
18,Process Mining Task: Conformance Checking,"Process mining - supervised/unsupervised, conformance checking",0.71,medium
73,Trace Clustering – Methods,"Clustering, clustering methods",0.817,medium
74,Trace Clustering – Methods,"Clustering, clustering methods",0.817,medium
